year_mobility,region_origin,destination,latitude,longitude,n_mobile
2020,Sub-Saharan Africa,DZ,28,3,2
2020,Sub-Saharan Africa,ET,9,39.5,28
2020,Sub-Saharan Africa,FR,46,2,110
2020,Sub-Saharan Africa,GB,54.75844,-2.69531,362
2020,Sub-Saharan Africa,IN,22,79,67
2020,Sub-Saharan Africa,MK,41.66667,21.75,1
2020,Sub-Saharan Africa,PT,39.6945,-8.13057,12
2020,Sub-Saharan Africa,SK,48.66667,19.5,3
2020,Sub-Saharan Africa,SL,8.5,-11.5,2
2021,Sub-Saharan Africa,BE,50.75,4.5,82
2021,Sub-Saharan Africa,CF,7,21,2
2021,Sub-Saharan Africa,ID,-5,120,5
2021,Sub-Saharan Africa,KN,17.33333,-62.75,3
2021,Sub-Saharan Africa,MU,-20.3,57.58333,1
2021,Sub-Saharan Africa,MY,2.5,112.5,34
2021,Sub-Saharan Africa,PK,30,70,31
2021,Sub-Saharan Africa,ZW,-19,29.75,23
2009,Sub-Saharan Africa,AT,47.33333,13.33333,5
2009,Sub-Saharan Africa,EG,27,30,2
